,leverage,solution,disrupt,efficient,visionary,vision,initiative,budget,global,performance,incentive,proactively,actionable,process,visibility,brand,productivity,strategy,innovation,mission,partner,paradigm,leveraging,empowered,empowerment,ping,network,integrate,resources,strategic,talent,cloud,quota,facilitate,beta,impact,processes,scenario,brainstorming,vertical,proactive,feedback,metrics,innovative,transparent,workload,core,boilerplate,interface,buzzword,seamlessly,procurement,resource,downsizing,bandwidth,solutions,downsize,outsourced,outsourcing,algorithm,efficiency,incentives,benchmark,synergies,transparency,competency,outsource,unpacking,synergy,methodology,facilitator,streamlined,downsized,optimize,leveraged,platforms,ecosystem,restructuring,deliverables,capacity,benchmarking,onboard,empowering,optimization,roi,platform,enterprise,integration,branding,silo,compliance,scalable,multitasking,collaboration,transformation,workspace,portal,deliverable,brainstorm,competencies,holistic,stakeholders,benchmarks,rebranding,competence,multitask,offline,disruptive,functionality,incentivizing,transformational,incentivize,agile,pushback,dashboard,onboarding,pinging,workflow,robust,optimizing,viral,networking,align,stakeholder,rebranded,collaborate,upsell,offboarding,streamlining,empower,aligned,gamification,pivot,pivoting,redundancy,collaborative,gamified,roadmap,pivoted,mindset,aligning,ideate,verticals,monetize,innovator,traction,unpack
1989,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,2,0,3,0,0,0,6,1,2,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,3,0,1,0,0,0,5,2,3,0,0,0,2,0,0,2,1,1,1,3,0,0,0,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,1,0,3,0,18,1,7,0,1,0,5,0,1,5,1,0,1,0,2,0,2,6,0,1,0,2,1,2,0,0,0,1,2,3,2,2,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,3,0,4,0,3,0,12,0,9,0,0,0,10,0,0,1,4,0,2,0,1,0,1,0,1,2,0,2,0,1,0,0,0,3,0,4,0,0,0,1,0,1,0,0,0,1,0,5,2,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,4,0,0,0,7,1,10,2,12,0,0,0,5,2,0,6,4,0,4,1,2,0,2,0,1,11,0,11,2,0,0,0,0,5,2,0,2,0,0,2,0,0,0,0,2,6,0,4,0,0,4,1,3,0,1,0,1,0,0,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,7,0,0,0,2,3,11,1,13,0,0,0,6,0,1,1,6,1,4,2,1,0,2,4,0,13,0,11,10,0,0,0,2,2,4,4,0,0,0,2,1,0,1,0,1,2,0,2,0,0,0,1,4,0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,2,2,1,0,0,0,2,8,0,11,1,1,0,6,0,0,2,7,1,4,1,0,0,0,0,0,12,1,6,0,0,4,1,0,0,5,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,4,0,0,0,0,2,15,3,7,1,0,0,5,0,2,2,9,1,2,1,0,0,0,0,0,1,0,7,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
