year,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,excitement,fear,gratitude,joy,love,nervousness,neutral,optimism,realization,remorse,sadness,surprise
1989,30.0,4.0,10.0,5.0,1.0,0.0,5.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,0.0,162.0,3.0,1.0,0.0,10.0,1.0
1990,37.0,6.0,15.0,1.0,4.0,1.0,2.0,20.0,0.0,1.0,2.0,1.0,1.0,1.0,12.0,4.0,9.0,0.0,222.0,8.0,0.0,0.0,16.0,2.0
1991,29.0,6.0,11.0,5.0,7.0,0.0,3.0,21.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,250.0,7.0,0.0,0.0,7.0,2.0
1992,39.0,11.0,13.0,4.0,5.0,0.0,4.0,12.0,1.0,3.0,4.0,0.0,0.0,1.0,11.0,3.0,6.0,0.0,236.0,5.0,1.0,0.0,6.0,1.0
1993,34.0,8.0,6.0,3.0,7.0,1.0,6.0,19.0,1.0,3.0,2.0,0.0,4.0,0.0,10.0,3.0,4.0,0.0,245.0,4.0,1.0,0.0,3.0,1.0
1994,31.0,7.0,8.0,5.0,7.0,1.0,3.0,17.0,1.0,0.0,5.0,0.0,2.0,0.0,6.0,3.0,5.0,0.0,257.0,1.0,1.0,1.0,4.0,0.0
1995,28.0,12.0,6.0,6.0,2.0,2.0,7.0,30.0,1.0,5.0,3.0,0.0,1.0,0.0,14.0,4.0,7.0,0.0,226.0,3.0,3.0,0.0,4.0,1.0
1996,45.0,8.0,9.0,0.0,5.0,0.0,8.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,240.0,11.0,2.0,0.0,3.0,1.0
1997,34.0,8.0,10.0,2.0,3.0,3.0,3.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,8.0,0.0,248.0,8.0,0.0,1.0,5.0,1.0
1998,32.0,5.0,11.0,1.0,10.0,2.0,3.0,18.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,8.0,8.0,0.0,242.0,4.0,3.0,0.0,3.0,2.0
1999,23.0,11.0,10.0,0.0,9.0,2.0,2.0,23.0,0.0,2.0,4.0,0.0,0.0,0.0,9.0,3.0,3.0,0.0,250.0,7.0,2.0,0.0,5.0,0.0
2000,25.0,7.0,9.0,2.0,6.0,0.0,4.0,16.0,1.0,2.0,5.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,265.0,7.0,1.0,0.0,3.0,0.0
2001,24.0,5.0,3.0,3.0,8.0,2.0,3.0,25.0,0.0,0.0,4.0,0.0,4.0,0.0,10.0,2.0,0.0,0.0,253.0,8.0,2.0,1.0,7.0,1.0
2002,31.0,7.0,14.0,7.0,5.0,2.0,5.0,14.0,0.0,4.0,2.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,248.0,9.0,2.0,0.0,3.0,0.0
2003,35.0,10.0,11.0,2.0,6.0,2.0,1.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,6.0,0.0,249.0,9.0,0.0,0.0,5.0,1.0
